"Level","Date","Mr","Message"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.semaas.tracers.FirstLevelSemaasTracer - ParentSpan is external"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.support.provisioning.store.TransactionStoreDelegateImpl - Finding DomObject for transaction 'PFMHT010-01-PE'."
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.support.provisioning.store.manager.xml.mapping.XmlFileMappingManagerImpl - Search XML transaction file with key PFMHT010-01-PE ."
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.support.provisioning.store.manager.xml.mapping.XmlFileMappingManagerImpl - Search XML transaction file with key PFMHT010-01-PE ."
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.util.id.SequenceIdentifierGeneratorImpl - The UID generated for the transaction is: CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.service.activator.LogicalServiceActivatorImpl - Generated Transaction UID: CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.service.activator.LogicalServiceActivatorImpl - Physical message (PhysicalMessage [physicalProtocol=REST, logicalProtocol=PG, messageFormat=JSON, messageBody=OtmaPgApxRestRequestMessage [header=Header{headerName='QP06', logicalTransactionCode='PFMHT010', typeCode='01', subtypeCode='01', versionCode='01', countryCode='PE', entityCode='0011', branchCode='9999', workstationCode='W963', operativeEntityCode='0011', operativeBranchCode='9999', ipAddress='0.0.0.0', channelCode='BM', environCode='01', productCode='0001', languageCode='ES', userCode='ZG13003', operationDate='20250627', operationTime='103000', currencyCode='PEN', secondaryCurrencyCode='USD', authorizationCode='00000000', requestId='c78e2482-693b-493d-8a06-5fb4da220999', serviceId='012345678901234', clientIdentificationType='1', clientDocument='0123456789012345678901234', contactIdentifier='1072', authorizationVersion='00', aap='13000123', app='ether-apx', origin='ejemplo', userAgent='bruno-runtime/2.9.1', managerUser='P028036', mac='example', remainingTime='012345', accountingTerminal='VIRT', asynchronous='null', xRhoTraceid='1df26dee-afb4-4fed-a1a1-b544079b7206', xRhoParentspanid='null', xRhoCallerRuntime='null', xRhoCallerId='null', xRhoCallerId2='null', txclass='30', xForwarded='118.180.29.103', asoGatewayToken='null', userLogon='null', accessCode='null', headerMap={remaining-time=012345, country-code=PE, service-id=012345678901234, x-rho-traceid=1df26dee-afb4-4fed-a1a1-b544079b7206, manager-user=P028036, operative-entity-code=0011, origin=ejemplo, txclass=30, entity-code=0011, type-code=01, client-identification-type=1, mac=example, logical-transaction-code=PFMHT010, aap=13000123, channel-code=BM, version-code=01, header-name=QP06, operation-date=20250627, user-code=ZG13003, accounting-terminal=VIRT, app=ether-apx, branch-code=9999, authorization-code=00000000, operative-branch-code=9999, language-code=ES, operation-time=103000, authorization-version=00, request-id=c78e2482-693b-493d-8a06-5fb4da220999, contact-identifier=1072, ip-address=0.0.0.0, client-document=0123456789012345678901234, secondary-currency-code=USD, X-Forwarded-For=118.180.29.103, environ-code=01, product-code=0001, subtype-code=01, currency-code=PEN, workstation-code=W963, user-agent=bruno-runtime/2.9.1}}, body={InputListInvestmentFundsDTO={customerId=97172679, paginationKey=, pageSize=null}}], messageId=9c55a55e-3707-4a4d-b166-cbe9310863f7]): "
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.unmarshaller.factory.UnmarshallerFactoryMethodImpl - Looking for unmarshaller for logical protocol PG and message format JSON"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.unmarshaller.factory.UnmarshallerFactoryMethodImpl - Composed filter: (&(logical.protocol=PG)(message.format=JSON))"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.unmarshaller.factory.UnmarshallerFactoryMethodImpl - Found unmarshaller for logical protocol PG and message format JSON"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - remaining-time:012345"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - country-code:PE"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - service-id:012345678901234"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - x-rho-traceid:1df26dee-afb4-4fed-a1a1-b544079b7206"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - manager-user:P028036"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - operative-entity-code:0011"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - origin:ejemplo"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - txclass:30"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - entity-code:0011"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - type-code:01"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - client-identification-type:1"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - mac:example"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - logical-transaction-code:PFMHT010"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - aap:13000123"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - channel-code:BM"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - version-code:01"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - header-name:QP06"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - operation-date:20250627"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - user-code:ZG13003"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - accounting-terminal:VIRT"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - app:ether-apx"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - branch-code:9999"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - authorization-code:00000000"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - operative-branch-code:9999"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - language-code:ES"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - operation-time:103000"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - authorization-version:00"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - request-id:c78e2482-693b-493d-8a06-5fb4da220999"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - contact-identifier:1072"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - ip-address:0.0.0.0"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - client-document:0123456789012345678901234"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - secondary-currency-code:USD"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - X-Forwarded-For:118.180.29.103"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - environ-code:01"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - product-code:0001"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - subtype-code:01"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - currency-code:PEN"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - workstation-code:W963"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.headers.impl.LogicalHeaderManagerImpl - user-agent:bruno-runtime/2.9.1"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.support.provisioning.store.TransactionStoreDelegateImpl - Finding DomObject for transaction 'PFMHT010-01-PE'."
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.support.provisioning.store.manager.xml.mapping.XmlFileMappingManagerImpl - Search XML transaction file with key PFMHT010-01-PE ."
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.support.provisioning.store.manager.xml.mapping.XmlFileMappingManagerImpl - Search XML transaction file with key PFMHT010-01-PE ."
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - customerId: 97172679"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - paginationKey: "
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - InputListInvestmentFundsDTO: {customerId=97172679, paginationKey=}"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.logical.json.otma.pg.apx.unmarshaller.JsonOtmaPgApxUnmarshaller - [JsonOtmaPgApxUnmarshaller] - returning transactionRequest: TransactionRequest [messageID=9c55a55e-3707-4a4d-b166-cbe9310863f7, uid=null, logicalProtocol=PG, executionCountryCode=PE, header=CommonRequestHeader [headerParamsMap={IPADDRESS=0.0.0.0, OPERATIONDATE=20250627, REQUESTID=c78e2482-693b-493d-8a06-5fb4da220999, CONTACTIDENTIFIER=1072, LANGUAGECODE=ES, COUNTRYCODE=PE, CHANNELCODE=BM, AGENTUSER=bruno-runtime/2.9.1, PID=null, SECONDARYCURRENCY=USD, SUBTYPECODE=01, APPLICATIONCODE=PFMH, CLIENTIDENTIFICATIONTYPE=1, AAP=13000123, ENTITYCODE=0011, CURRENCY=PEN, HEADERNAME=QP06, OPERATIVEENTITYCODE=0011, BRANCHCODE=9999, PRODUCTCODE=0001, WORKSTATIONCODE=W963, CLIENTDOCUMENT=0123456789012345678901234, OPERATIVEBRANCHCODE=9999, TYPECODE=01, AUTHORIZATIONCODE=00000000, USERCODE=ZG13003, LOGICALTRANSACTIONCODE=PFMHT010, OPERATIONTIME=103000, ACCOUNTINGTERMINAL=VIRT, REMAININGTIME=012345, VERSIONCODE=01, AUTHORIZATIONVERSION=00, TRANSACTIONCODE=T010, XFORWARDEDFOR=118.180.29.103, TXCLASS=30, SERVICEID=012345678901234, APP=ether-apx, ORIGIN=ejemplo, MAC=example, ENVIRONCODE=01, MANAGERUSER=P028036}], body=GenericBody [transactionParameters=Parameter [name=InputListInvestmentFundsDTO, value={customerId=97172679, paginationKey=}]]]"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.aspect.impl.TransactionMonitorizationAspectImpl - [MONITORIZATION]Retrieving the transaction monitorization header info for the transaction with messageId 9c55a55e-3707-4a4d-b166-cbe9310863f7"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.ControllerServiceActivatorImpl - Execute the  Synchronous transaction T010"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionGeneratorUidPidHandler - [HANDLER-CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455] State: TRANSACTION_CREATE_UID_PID"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionDataLoadHandler - [HANDLER-CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455] State: TRANSACTION_INITIALIZATION"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionDataLoadHandler - [HANDLER-CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455] State: TRANSACTION_DATA_LOAD"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.support.provisioning.store.TransactionStoreDelegateImpl - Finding DomObject for transaction 'PFMHT010-01-PE'."
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.support.provisioning.store.manager.xml.mapping.XmlFileMappingManagerImpl - Search XML transaction file with key PFMHT010-01-PE ."
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.support.provisioning.store.manager.xml.mapping.XmlFileMappingManagerImpl - Search XML transaction file with key PFMHT010-01-PE ."
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionPreactionsHandler - [HANDLER-CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455] State: TRANSACTION_PREACTIONS"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionPreactionLogHandler - [HANDLER-CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455] State: TRANSACTION_PREACTION_LOG"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionPreactionMoniHandler - [HANDLER-CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455] State: TRANSACTION_PREACTION_MONI"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionPreactionCompletedHandler - [HANDLER-CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455] State: TRANSACTION_PREACTION_COMPLETED"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionPreactionsHandler - Preaction completed. Calling the next node. Transaction uuid: CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455 Transaction State: TRANSACTION_PREACTION_COMPLETED"
"INFO","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.control.service.handler.TransactionCreateSessionContextHandler - [HANDLER-CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455] State: TRANSACTION_CREATE_SESION_CONTEXT"
"DEBUG","01/09/2025 19:26:28:288","RuntimeOnline","com.bbva.elara.business.sessioncontext.SessionContextFactoryImpl - Created session context for uuid: 'CVM2DCO56_QWPO_E01_10_2025-08-25 13:29:33.572_38455'"
